1	1	1	3
2	2	2	5
3	3	3	3
4	4	4	4
5	5	5	1
6	6	6	4
7	7	7	2
8	8	8	3
9	9	9	5
10	10	10	5
11	11	11	3
12	12	12	5
14	14	13	2
15	15	14	4
16	16	15	5
17	17	16	5
18	18	17	4
19	19	1	5
20	20	18	2
21	21	19	4
22	22	20	4
23	23	4	5
24	24	11	5
25	25	21	4
26	26	22	5
27	27	23	4
28	28	4	5
29	29	24	5
30	30	2	2
33	33	27	2
34	34	28	5
35	35	29	5
36	36	4	4
37	37	30	3
38	38	4	3
39	39	31	4
40	40	29	5
41	41	32	4
42	42	1	3
43	43	33	5
44	44	17	3
45	45	34	2
46	46	35	2
47	47	36	3
48	48	37	4
49	49	38	4
50	50	39	5
52	52	35	4
53	53	41	5
54	54	42	2
55	55	4	3
56	56	20	5
57	57	43	4
58	58	44	4
59	59	31	5
60	60	14	1
61	61	45	3
62	62	46	5
63	63	15	4
65	65	15	5
66	66	8	5
67	67	45	4
68	68	1	4
69	69	47	4
70	70	48	3
72	71	6	3
73	72	4	2
74	73	32	3
75	74	4	3
76	75	34	4
77	76	49	4
78	77	50	4
79	78	51	1
80	79	52	5
81	80	45	5
82	81	53	3
83	82	54	5
84	83	17	4
85	84	16	5
86	85	55	2
87	86	56	4
88	87	16	5
89	88	57	5
91	90	31	5
51	91	27	3
92	92	6	1
93	93	58	4
94	94	54	3
95	95	59	2
97	96	20	5
98	97	60	5
99	98	12	4
100	99	42	5
101	100	56	3
102	101	1	4
103	102	39	1
104	103	2	4
105	104	58	5
106	105	36	3
107	106	4	1
108	107	52	5
109	108	6	5
110	109	60	4
111	110	39	4
112	111	38	5
113	112	45	2
114	113	17	5
115	114	53	4
116	115	52	5
118	117	15	4
119	118	3	5
120	119	6	4
121	120	6	5
122	121	56	4
123	122	61	5
124	123	31	3
125	124	16	2
126	125	14	5
127	126	13	5
128	127	45	5
129	128	1	4
130	129	1	4
131	130	54	5
132	131	62	5
133	46	46	4
134	132	9	5
135	133	36	5
136	134	33	5
138	107	63	5
139	136	6	3
140	137	18	5
141	138	64	1
142	139	27	5
143	140	4	1
144	13	65	3
146	142	62	5
147	143	33	1
148	144	66	5
149	145	64	4
150	146	17	5
151	53	42	4
152	147	67	5
153	148	36	4
154	149	30	4
155	150	16	2
156	151	36	2
157	152	61	5
158	153	10	3
159	154	55	5
160	155	20	3
161	156	31	2
162	157	36	5
163	158	29	3
164	159	6	4
165	160	62	5
166	161	32	5
167	162	63	5
168	163	37	2
169	164	4	2
170	165	14	4
171	166	68	4
172	167	24	5
173	168	46	3
174	169	3	5
175	170	54	2
177	171	39	3
178	172	3	2
180	174	4	5
181	175	45	3
182	176	46	4
183	177	62	3
184	131	15	5
185	63	8	4
186	178	33	5
187	154	63	5
188	179	31	4
189	180	9	2
191	182	62	3
192	183	56	3
193	184	66	5
194	185	39	2
195	186	3	1
196	187	31	4
197	188	27	3
198	189	69	3
200	191	29	3
201	192	51	4
203	194	34	5
204	195	33	3
205	196	60	4
207	198	4	5
208	199	57	4
209	200	10	5
210	116	63	4
211	201	5	5
212	202	13	5
213	203	35	3
214	139	18	5
215	204	28	4
216	205	31	2
217	206	63	1
218	207	40	3
219	208	60	4
220	209	23	4
222	125	19	5
223	211	13	5
224	212	53	5
225	213	33	4
226	214	17	2
227	215	26	5
168	216	70	5
228	217	71	4
229	218	20	5
184	220	28	4
231	191	42	4
232	221	72	2
233	222	36	2
234	223	11	3
235	224	44	4
237	225	60	5
238	96	31	3
239	226	73	5
240	227	28	5
242	229	63	2
243	230	60	5
244	231	14	4
245	232	36	2
246	233	17	1
247	234	4	1
248	235	15	1
114	236	43	4
249	237	17	5
250	238	66	2
251	239	15	3
44	240	37	4
252	241	65	5
253	242	35	5
256	245	3	5
257	246	62	5
258	63	27	2
259	247	15	2
260	248	42	3
261	106	19	4
262	249	47	5
265	251	65	4
266	213	43	4
267	232	64	5
268	252	31	5
269	253	35	5
270	254	47	4
271	255	25	4
272	256	16	3
273	257	43	5
274	258	31	5
275	260	36	4
276	261	61	5
277	172	16	5
278	262	74	4
279	263	36	1
280	264	36	4
281	265	32	4
282	181	10	1
283	266	16	2
285	268	39	4
286	244	52	5
287	269	4	5
288	270	19	2
289	271	14	5
290	272	24	5
291	273	20	5
292	274	28	5
293	275	44	3
294	276	17	4
295	277	59	5
296	94	46	5
297	278	64	5
298	279	60	5
299	280	28	2
300	281	19	4
301	282	75	3
302	283	11	2
303	284	13	5
304	285	3	2
305	286	52	5
306	287	66	2
307	288	11	3
308	289	18	4
309	161	20	5
310	290	5	1
311	291	17	5
312	292	35	4
313	293	35	4
314	294	47	2
315	295	66	4
316	296	16	4
317	297	64	3
318	298	60	1
319	299	12	5
320	300	65	4
321	301	51	3
322	302	43	5
323	22	60	5
324	303	18	5
325	304	66	3
326	218	57	4
327	305	3	4
328	306	9	3
329	307	6	3
330	308	8	5
331	309	36	5
332	310	12	3
333	311	3	3
323	312	11	4
334	313	64	1
335	314	60	5
336	315	76	3
337	316	60	5
338	317	38	2
339	318	2	4
340	319	5	4
341	320	45	5
342	321	2	2
343	322	64	5
344	323	59	4
345	324	31	1
346	325	2	4
347	326	36	5
348	327	20	2
349	328	28	1
350	329	63	5
351	330	31	5
353	332	67	5
354	333	76	3
356	335	28	5
357	336	61	2
358	337	32	4
359	173	25	4
360	338	66	5
361	339	13	4
362	340	15	5
363	341	15	4
364	170	20	4
